問題番号,問題文,正解,正解(ひらがな),正解(カタカナ)
32,(　　)は兄の藤原仲成と共に、平城遷都を主張する平城太子天皇の復位をはかった。この政変を薬子の変(平城太上天皇の変)という。,藤原薬子,,
33,藤原薬子は兄の(　　)と共に、平城遷都を主張する平城太子天皇の復位をはかった。この政変を薬子の変(平城太上天皇の変)という。,藤原仲成,,
34,藤原薬子は兄の藤原仲成と共に、平城遷都を主張する平城太子天皇の復位をはかった。この政変を(　　)という。,薬子の変(平城太上天皇の変),,
35,810年におこった薬子の変は、(　　)太上天皇の重祚をはかって失敗した事件である。,平城,,
36,薬子の変をきっかけに、藤原(　　)家は衰えた。,式,,
37,薬子の変の際、天皇側の機密保持のために設けられた役所を(　　)という。,蔵人所,,
38,(　　)と巨勢野足は、蔵人所の長官である。蔵人頭に初代として任命された。,藤原冬嗣,,
39,藤原冬嗣はと巨勢野足は、蔵人所の長官である(　　)に初代として任命された。,蔵人頭,,
40,(　　)天皇の着任を得た藤原冬嗣は、藤原北家の人物である。,嵯峨,,
41,嵯峨天皇の着任を得た藤原冬嗣は、藤原(　　)家の人物である。,北,,
42,嵯峨天皇の時代に(　　)がおかれ、京内の警察・裁判を司った。,検非違使,,
43,養老令のどの条文にも、その名称や役割の規定されていない官職や役所は(　　)と総称される。,令外官,,
44,桓武天皇の時に令外官として設置されたのは(　　)と征夷大将軍である。,勘解由使,,
45,桓武天皇の時に令外官として設置されたのは勘解由使と(　　)である。,征夷大将軍,,
46,嵯峨天皇のときに令外官として設置されたのは(　　)と蔵人頭(蔵人)である。,検非違使,,
47,嵯峨天皇のときに令外官として設置されたのは検非違使と(　　)である。,蔵人頭(蔵人),,
48,律令を補足修正した追加法を(　　)、基本法の施行細則を式という。,格,,
49,律令を補足修正した追加法を格、基本法の施行細則を(　　)という。,式,,
50,平安時代初期に編纂された格式を総称して(　　)という。,三代格式,,
51,格や式の編纂事業は、(　　)、貞観、延喜の3度にわたって行われた。,弘仁,,
52,格や式の編纂事業は、弘仁、(　　)、延喜の3度にわたって行われた。,貞観,,
53,格や式の編纂事業は、弘仁、貞観、(　　)の3度にわたって行われた。,延喜,,
54,820年に成立した弘仁格式は、(　　)らの編で、当時の天皇は嵯峨天皇である。,藤原冬嗣,,
55,820年に成立した弘仁格式は、藤原冬嗣らの編で、当時の天皇は(　　)天皇である。,嵯峨,,
56,(　　)は、弘仁格、貞観格、延喜格を分類・編集したものである。,類聚三代格,,
57,格は『(　　)』という形で、式は『延喜式』という形で現代に残っている。,類聚三代格,,
58,養老令の公撰注釈書は『(　　)』で、私撰注釈書は『令集解』である。,令義解,,
59,養老令の公撰注釈書は『令義解』で、私撰注釈書は『(　　)』である。,令集解,,
60,9世紀に太宰府管内に設置された国家の直営田を(　　)という。,公営田,,
61,879年に畿内に設けられた直営田を(　　)と呼ぶ。,官田,,
62,平安時代初期の(　　)文化の時期になると、密教が隆盛化し、密教美術が発展した。,弘仁・貞観,,
63,天台宗は(　　)が、真言宗は空海が開いた。,最澄,,
64,天台宗は最澄が、真言宗は(　　)が開いた。,空海,,
65,比叡山に建てられた天台宗の本山は(　　)、高野山に建てられた真言宗の本山は金剛峰寺である。,延暦寺,,
66,比叡山に建てられた天台宗の本山は延暦寺、高野山に建てられた真言宗の本山は(　　)である。,金剛峰寺,,
67,最澄は帰国後、(　　)経に基づく天台宗を開いた。,法華,,
68,最澄は帰国後、法華経にもとづく(　　)宗を開いた。,天台,,
69,(　　)が、天台大乗戒壇創設の必要性を訴えた書を顕戒論という。,最澄,,
70,最澄が、天台宗大乗戒壇創設の必要性を訴えた書を(　　)という。,顕戒論,,
71,空海は、京都の(　　)でも布教にあたった。,東寺(教王護国寺),,
72,空海の著作には、儒教・仏教・道教を比較し、仏教が最も優れていると論じた『(　　)』がある。,三教指帰,,
73,(　　)と呼ばれる秘密の修法によって現世利益(現世の様々な願い)を実現する仏教を密教という。,加持祈祷,,
74,加持祈祷と呼ばれる秘密の修法によって(　　)(現世の様々な願い)を実現する仏教を密教という。,現世利益,,
75,加持祈祷と呼ばれる秘密の修法によって現世利益(現世の様々な願い)を実現する仏教を(　　)という。,密教,,
76,天台宗の密教を(　　)と呼ぶのに対して、真言宗の密教は東密と呼ばれる。,台密,,
77,天台宗の密教を台密と呼ぶのに対して、真言宗の密教は(　　)と呼ばれる。,東密,,
78,真言密教の中心仏は(　　)である。,大日如来,,
79,838年、最澄の弟子(　　)は、最後となった遣唐使に加わって入唐し『入唐求法巡礼行記』を著した。その後、入唐して主に密教を学んだ円珍は、延暦寺第5世座主となった。,円仁,,
80,838年、最澄の弟子円仁は、最後となった遣唐使に加わって入唐し『入唐求法巡礼行記』を著した。その後、入唐して主に密教を学んだ(　　)は、延暦寺第5世座主となった。,円珍,,
81,10世紀末、延暦寺内で(　　)の門徒と円珍の門徒との派閥抗争が激化し、後者は下山し園城寺(三井寺)に入った。,円仁,,
82,10世紀末、延暦寺内で円仁の門徒と(　　)の門徒との派閥抗争が激化し、後者は下山し園城寺(三井寺)に入った。,円珍,,
83,10世紀末、延暦寺内で円仁の門徒と円珍の門徒との派閥抗争が激化し、後者は下山し(　　)に入った。,園城,,
84,円仁の末流を(　　)派、円珍の末流を寺門派と呼ぶ。,山門,,
85,円仁の末流を山門派、円珍の末流を(　　)派と呼ぶ。,寺門,,
86,仏教が在来の信仰と結びつくことを(　　)という。,神仏習合,,
87,山中での修行を重んじる密教と山岳信仰が結びつき、後世の(　　)の基礎が築かれた。,修験道,,
88,(　　)寺の金堂は、山間の地であるため、以前のような形式にとらわれない伽藍配置でつくられた。,室生,,
89,弘仁・貞観文化期における仏像作成法は(　　)が多く、半場式の衣文が流行した。,一木造,,
90,弘仁・貞観文化を相評する密教彫刻に、(　　)寺の如意輪観音がある。,観心,,
91,(　　)寺の僧形八幡神像は、神仏習合を示す代表的な神像彫刻である。,薬師,,
92,薬師寺の(　　)は、神仏習合を示す代表的な神像彫刻である。,僧形八幡神像,,
93,(　　)寺を代表する密教彫刻に不動明王像がある。,東,,
94,(　　)は、密教の世界観を独特な構図で説いたものである。,曼荼羅,,
95,(　　)寺には、円珍が描かせた不動明王像があり、これは黄不動ともよばれる。,園城,,
96,園城寺には、(　　)が描かせた不動明王像があり、これは黄不動とも呼ばれる。,円珍,,
97,弘仁・貞観文化では、文芸の興隆によって治世や国家の発展を願う(　　)の考え方が広まった。,文章経国,,
98,最初の勅撰漢詩文集である(　　)は、小野岑守らによって編纂された。,凌雲集,,
99,2番目の勅撰漢詩文集は『(　　)』、3番目の勅撰漢詩文集は『経国集』である。,文化秀麗集,,
100,2番目の勅撰漢詩文集は『文華秀麗集』、3番目の勅撰漢詩文集は『(　　)』である。,経国集,,
101,空海の個人詩文集は『(　　)』である。,性霊集,,
102,唐風の書の名手を(　　)とよぶ。,三筆,,
103,唐風の書の名手である三筆は、(　　)・橘逸勢・嵯峨天皇である。,空海,,
104,唐風の書の名手である三筆は、空海・(　　)・嵯峨天皇である。,橘逸勢,,
105,唐風の書の名手である三筆は、空海・橘逸勢・(　　)である。,嵯峨天皇,,
106,平安時代になると、漢文や歴史を学ぶ(　　)が盛んになった。,紀伝道,,
107,平安時代になると、有力な貴族は一族の子弟の教育のために、寄宿舎と研究室を兼ねた施設として(　　)を建てた。,大学別曹,,
108,大学別曹には、橘氏の(　　)、和気氏の弘文院、藤原氏の勧学院、在原氏の奨学院などがある。,学館院,,
109,大学別曹には、橘氏の学館院、和気氏の(　　)、藤原氏の勧学院、在原氏の奨学院などがある。,弘文院,,
110,大学別曹には、橘氏の学館院、和気氏の弘文院、藤原氏の(　　)、在原氏の奨学院などがある。,勧学院,,
111,828年頃に、庶民の教育を目的とする(　　)が、空海によって建立された。,綜芸種智院,,
112,828年頃に、庶民の教育を目的とする綜芸種智院が、(　　)によって建立された。,空海,,
113,景戒は、現存する日本最古の説話集『(　　)』を著した。,日本霊異記,,
114,藤原冬嗣の子の(　　)は、842年におこった承和の変で勢力を伸ばした。,藤原良房,,
115,藤原冬嗣の子の藤原良房は、842年におこった(　　)で勢力を伸ばした。,承和の変,,
116,承和の変で、謀反を企てたと密告され失脚させられたのは(　　)と伴健岑である。,橘逸勢,,
117,承和の変で、謀反を企てたと密告され失脚させられたのは橘逸勢と(　　)である。,伴健岑,,
118,858年、(　　)天皇が幼少で即位したため藤原良房が臣下で初めて摂政になった。,清和,,
119,858年、清和天皇が幼少で即位したため(　　)が臣下で初めて摂政になった。,藤原良房,,
120,866年の応天門の変は、大納言(　　)が左大臣源誠を失脚させようとして応天門に放火した事件である。,伴善男,,
121,866年の応天門の変は、大納言伴善男が左大臣(　　)を失脚させようとして応天門に放火した事件である。,源誠,,
122,藤原良房の養子の(　　)は、関白の地位についた。,藤原基経,,
123,藤原基経は陽成天皇を退位させ、代わりに(　　)を即位させて関白の地位についた。,光孝天皇,,
124,(　　)が887年に即位すると、藤原基経は名実共に関白となった。,宇多天皇,,
125,藤原基経は、宇多天皇が出した勅書に異議を申し立て、それを撤回させた。この事件を(　　)という。,阿衡の紛議(阿衡事件),,
126,(　　)天皇は、藤原基経の死後天皇親政を行った。これを寛平の治という。,宇多,,
127,宇多天皇は、(　　)の死後天皇親政を行った。これを寛平の治という。,藤原基経,,
128,宇多天皇は、文章博士であった(　　)を登用した。,菅原道真,,
129,宇多天皇の譲位後、子の(　　)天皇が即位した。,醍醐,,
130,醍醐天皇は(　　)を右大臣に、藤原時平を左大臣においた。,菅原道真,,
131,醍醐天皇は菅原道真を右大臣に、(　　)を左大臣においた。,藤原時平,,
132,901年、菅原道真は左大臣(　　)の讒言に会い失脚した。これを昌泰の変という。,藤原時平,,
133,菅原道真は、右大臣から(　　)に左遷され、903年に没した。,大宰権帥,,
134,10世紀前半の天皇親政のことを、後世、「(　　)・天暦の治」とよぶことになる。,延喜,,
135,10世紀前半の天皇親政のことを、後世、「延喜・(　　)の治」とよぶことになる。,天暦,,
136,延喜の治は(　　)天皇の治世、天暦の治は村上天皇の治世である。,醍醐,,
137,延喜の治は醍醐天皇の治世、天暦の治は(　　)天皇の治世である。,村上,,
138,902年、(　　)天皇は、私的大土地所有を制限するため延喜の荘園整理令を出した。,醍醐,,
139,902年、醍醐天皇は、私的大土地所有を制限するため(　　)を出した。,延喜の荘園整理令,,
140,(　　)天皇のもとで、六国史の最後である『日本三大実録』が編纂された。,醍醐,,
141,醍醐天皇のもとで、六国史の最後である『(　　)』が編纂された。,日本三大実録,,
142,菅原道真が編纂した『(　　)』は、六国史にある事件・事例が部門別に編纂されている。,類聚国史,,
143,(　　)は、六国史の最後となる正史の編者の一人で、『類聚国史』の編纂にも携わった。,菅原道真,,
144,(　　)は、醍醐天皇に対して、地方支配の再建策を中心とする意見封事十二箇条を提出した。,三善清行,,
145,三善清行は、(　　)天皇に対して、地方支配の再建策を中心とする意見封事十二箇条を提出した。,醍醐,,
146,醍醐天皇の次には、(　　)天皇が即位した。,朱雀,,
147,(　　)は、朱雀天皇の摂政・関白をつとめた。,藤原忠平,,
148,958年、(　　)天皇のもとで本朝(皇朝)十二銭の最後の貨幣である乾元大宝が鋳造された。,村上,,
149,958年、村上天皇のもとで本朝(皇朝)十二銭の最後の貨幣である(　　)が鋳造された。,乾元大宝,,
150,(　　)の変で源高明が左遷され、藤原氏の地位は確立した。,安和,,
151,969年、醍醐天皇の子である(　　)は、源満仲の密告によって太宰府に左遷された。これを安和の変という。,源高明,,
152,幼少の天皇を補佐するのが(　　)、成人の天皇を後見するのが関白である。,摂政,,
153,幼少の天皇を補佐するのが摂政、成人の天皇を後見するのが(　　)である。,関白,,
154,安和の変によって他氏排斥が終了すると、藤原氏の(　　)家内の内部で主導権をめぐる争いが始まった。,北,,
155,(　　)と藤原兼家の兄弟は、氏の長者の地位をめぐって争った。,藤原兼通,,
156,藤原道長と甥の(　　)は、氏の長者の地位をめぐって争った。,藤原伊周,,
157,藤原伊周とその弟(　　)が失脚することによって、藤原道長の勢力は固まった。,藤原隆家,,
158,(　　)は、3天皇の外祖父として権力をふるった。,藤原道長,,
159,藤原道長の娘(　　)には紫式部が、藤原道隆の娘定子には清少納言が仕えた。,彰子,,
160,藤原道長の娘彰子には紫式部が、藤原道隆の娘(　　)には清少納言が仕えた。,定子,,
161,藤原道長の「此の世をば我が世とぞ思ふ望月の…」の歌が収録されている史料は、(　　)の著による『小右記』である。,藤原実資,,
162,藤原道長の「此の世をば我が世とぞ思ふ望月の…」の歌が収録されている史料は、藤原実資の著による『(　　)』である。,小右記,,
163,藤原道長は別名(　　)とよばれ、彼の日記を『御堂関白記』という。,御堂関白,,
164,藤原道長は別名御堂関白とよばれ、彼の日記を『(　　)』という。,御堂関白記,,
165,藤原道長の子(　　)は、後一条・後朱雀・後冷泉の3天皇を外戚として、約50年にわたり摂政・関白をつとめた。,藤原頼通,,
166,藤原道長の子藤原頼通は、後一条・後朱雀・後冷泉の3天皇を(　　)として、約50年にわたり摂政・関白をつとめた。,外戚,,
167,宇治殿とは、(　　)のことである。,藤原頼通,,
168,宮中で慣例として毎年行われる政務や儀式を(　　)という。,年中行事,,
169,平安時代、遣唐使として派遣された人物には、新仏教を開いた(　　)・空海や、能書家として知られる橘逸勢がいた。,最澄,,
170,平安時代、遣唐使として派遣された人物には、新仏教を開いた最澄・(　　)や、能書家として知られる橘逸勢がいた。,空海,,
171,平安時代、遣唐使として派遣された人物には、新仏教を開いた最澄・空海や、能書家として知られる(　　)がいた。,橘逸勢,,
172,最澄・空海を乗せた遣唐使船が出発したのは(　　)天皇のときのことである。,桓武,,
173,838年の最後の遣唐使に従って唐に渡った円仁の見聞録を『(　　)』という。,日東求法巡礼行記,,
174,9世紀末、遣唐大使に任命された(　　)は、唐の疲弊と航路の危険を理由に遣唐使派遣の停止を宇多天皇に建議し、受け入れられた。,菅原道真,,
175,9世紀末、遣唐大使に任命された菅原道真は、唐の疲弊と航路の危険を理由に遣唐使派遣の停止を(　　)天皇に建議し、受け入れられた。,宇多,,
176,遣唐使の廃止は、西暦でいうと(　　)年にあたる寛平六年のことである。,894,,
177,唐が滅びたのは(　　)年である。,907,,
178,10世紀末、中国に(　　)が建国されたあとにも、日本はこの国と正式な国交を開かなかった。,宋,,
179,10世紀後半には(　　)が入宋して太宗に謁見し、持ち帰った釈迦如来像が清凉寺に安置された。,奝然,,
180,926年に、中国東北部の(　　)が滅亡した。,渤海,,
181,1019年に、(　　)族が博多湾に新融資多出来事を刀伊の入寇という。,女真,,
182,1019年に、女真族が博多湾に新融資多出来事を(　　)という。,刀伊の入寇,,
183,大宰権帥の(　　)が刀伊の入寇を撃退した。,藤原隆家,,
184,10世紀前半、朝鮮半島では(　　)が滅び、高麗が建国された。,新羅,,
185,10世紀前半、朝鮮半島では新羅が滅び、(　　)が建国された。,高麗,,
186,平安中・後期には、日本独特の文学や美術などが数多くつくられる(　　)文化が、貴族を中心に営まれた。,国風,,
187,平安中・後期には、日本独特の文学や美術などが数多くつくられる国風文化が、(　　)を中心に営まれた。,貴族,,
188,仮名文字では、草書体を簡略にした(　　)と漢字の一部をとってつくった片かなが使われだした。,平がな,,
189,仮名文字では、草書体を簡略にした平がなと漢字の一部をとってつくった(　　)が使われだした。,片かな,,
190,『(　　)』は、最初の勅撰和歌集である。,古今和歌集,,
191,『古今和歌集』は、905年に(　　)天皇の命で編纂された。,醍醐,,
192,古今和歌集仮名序は、(　　)によって書かれた。,紀貫之,,
193,六歌仙は平安時代の和歌の名手で、(　　)・遍昭・喜撰・小野小町・文屋康秀・大友黒主の6人をいう。,在原業平,,
194,六歌仙は平安時代の和歌の名手で、在原業平・遍昭・喜撰・(　　)・文屋康秀・大友黒主の6人をいう。,小野小町,,
195,(　　)の撰した『和漢朗詠集』は、朗詠(和歌や漢詩文に節をつけて詠ずる)にすぐれた若戸漢詩文を集めたものである。,藤原公任,,
196,藤原公任の撰した『(　　)』は、朗詠(和歌や漢詩文に節をつけて詠ずる)にすぐれた若戸漢詩文を集めたものである。,和漢朗詠集,,
197,9世紀頃、『(　　)』という伝奇物語が成立した。,竹取物語,,
198,歌物語の『(　　)』は、六歌仙の一人である在原業平をモデルとした作品である。,伊勢物語,,
199,11世紀になると、(　　)の『源氏物語』と清少納言の随筆『枕草子』という、国文学の最高傑作とされるすぐれた文芸が誕生した。,紫式部,,
200,11世紀になると、紫式部の『源氏物語』と(　　)の随筆『枕草子』という、国文学の最高傑作とされるすぐれた文芸が誕生した。,清少納言,,
201,『(　　)』という長編物語は紫式部によって著された。,源氏物語,,
202,『(　　)』という随筆は清少納言によって著された。,枕草子,,
203,10世紀前半、日本初の仮名書き日記である『(　　)』が紀貫之によって書かれた。,土佐日記,,
204,10世紀前半、日本初の仮名書き日記である『土佐日記』が(　　)によって書かれた。,紀貫之,,
205,10世紀後半、藤原道綱の母は『(　　)』を著した。,蜻蛉日記,,
206,11世紀後半、菅原孝標の女は『(　　)』を著した。,更級日記,,
207,書道では、和風の能書家である(　　)・藤原佐理・藤原行成が三蹟(三跡)と称された。,小野道風,,
208,書道では、和風の能書家である小野道風・(　　)・藤原行成が三蹟(三跡)と称された。,藤原佐理,,
209,書道では、和風の能書家である小野道風・藤原佐理・(　　)が三蹟(三跡)と称された。,藤原行成,,
210,この頃、唐絵にかわって、日本の風物を題材とした(　　)が描かれた。,大和絵,,
211,大和絵の祖と呼ばれる画家は(　　)である。,巨勢金岡,,
212,漆で文様を描き、金銀粉を表面に吹きつけた漆工芸を(　　)という。,蒔絵,,
213,平安時代には貴族の住宅として、中央に寝殿、東西に対屋をおく(　　)が成立した。,寝殿造,,
214,平安貴族男子の正装には、(　　)や、それを簡略にした衣冠がある。,束帯,,
215,平安貴族男子の正装には、束帯や、それを簡略にした(　　)がある。,衣冠,,
216,平安貴族女子の正装は(　　)を用いた。,女房装束,,
217,成人の儀式として、男子は(　　)、女子は裳着の式が行われた。,元服,,
218,成人の儀式として、男子は元服、女子は(　　)の式が行われた。,裳着,,
219,一定期間、特定の建物の中で謹慎することを(　　)という。,物忌,,
220,忌むべき方角を避けるために、前夜に吉方の家に一泊することを(　　)という。,方田替,,
221,(　　)は、阿弥陀仏を信仰し、来世において極楽浄土に往生することを願う教えである。,,,
222,浄土教は、(　　)を信仰し、来世において極楽浄土に往生することを願う教えである。,,,
223,10世紀前半、京都の市中で往生極楽の思想を説いた(　　)は、南無阿弥陀仏という文言をいつも唱えていたといわれる。,,,
224,10世紀前半、京都の市中で往生極楽の思想を説いた空也は、(　　)という文言をいつも唱えていたといわれる。,,,
225,,,,
226,,,,
227,,,,
228,,,,
229,,,,
230,,,,
231,,,,
232,,,,
233,,,,
234,,,,
235,,,,
236,,,,
237,,,,
238,,,,
239,,,,
240,,,,
241,,,,
242,,,,
243,,,,
244,,,,
245,,,,
246,,,,
247,,,,
248,,,,
249,,,,
250,,,,
251,,,,
252,,,,
253,,,,
254,,,,
255,,,,
256,,,,
257,,,,
258,,,,
259,,,,
260,,,,
261,,,,
262,,,,
263,,,,
264,,,,
265,,,,
266,,,,
267,,,,
268,,,,
269,,,,
270,,,,
271,,,,
272,,,,
273,,,,
274,,,,
275,,,,
276,,,,
277,,,,
278,,,,
279,,,,
280,,,,
281,,,,
282,,,,
283,,,,
284,,,,
285,,,,
286,,,,
287,,,,
288,,,,
289,,,,
290,,,,
291,,,,
292,,,,
293,,,,
294,,,,
295,,,,
296,,,,
297,,,,
298,,,,
299,,,,
300,,,,
301,,,,
302,,,,
303,,,,
304,,,,
305,,,,
306,,,,
307,,,,
308,,,,
309,,,,
310,,,,
311,,,,
312,,,,
313,,,,
314,,,,
315,,,,
316,,,,
317,,,,
318,,,,
319,,,,
320,,,,
321,,,,
322,,,,
323,,,,
324,,,,
325,,,,
326,,,,
327,,,,
328,,,,
329,,,,
330,,,,
331,,,,
332,,,,
333,,,,
334,,,,
335,,,,
336,,,,
337,,,,
338,,,,
339,,,,
340,,,,
341,,,,
342,,,,
343,,,,
344,,,,
345,,,,
346,,,,
347,,,,
348,,,,
349,,,,
350,,,,
351,,,,
352,,,,
353,,,,
354,,,,
355,,,,
356,,,,
357,,,,
358,,,,
359,,,,
360,,,,
361,,,,
362,,,,
363,,,,
364,,,,
365,,,,
366,,,,
367,,,,
368,,,,
369,,,,
370,,,,
371,,,,
372,,,,
373,,,,
374,,,,
375,,,,
376,,,,
377,,,,
378,,,,
379,,,,
380,,,,
381,,,,
382,,,,
383,,,,
384,,,,
385,,,,
386,,,,
387,,,,
388,,,,
389,,,,
390,,,,
391,,,,
392,,,,
393,,,,
394,,,,
395,,,,
396,,,,
397,,,,
398,,,,
399,,,,
400,,,,
401,,,,
402,,,,
403,,,,
404,,,,
405,,,,
406,,,,
407,,,,
408,,,,
409,,,,
410,,,,
411,,,,
412,,,,
413,,,,
414,,,,
415,,,,
416,,,,
417,,,,
418,,,,
419,,,,
420,,,,
421,,,,
422,,,,
423,,,,
424,,,,
425,,,,
426,,,,
427,,,,
428,,,,
429,,,,
430,,,,
431,,,,
432,,,,
433,,,,
434,,,,
435,,,,
436,,,,
437,,,,
438,,,,
439,,,,
440,,,,
441,,,,
442,,,,
443,,,,
444,,,,
445,,,,
446,,,,
447,,,,
448,,,,
449,,,,
450,,,,
451,,,,
452,,,,
453,,,,
454,,,,
455,,,,
456,,,,
457,,,,
458,,,,
459,,,,
460,,,,
461,,,,
462,,,,
463,,,,
464,,,,
465,,,,
466,,,,
467,,,,
468,,,,
469,,,,
470,,,,
471,,,,
472,,,,
473,,,,
474,,,,
475,,,,
476,,,,
477,,,,
478,,,,
479,,,,
480,,,,
481,,,,
482,,,,
483,,,,
484,,,,
485,,,,
486,,,,
487,,,,
488,,,,
489,,,,
490,,,,
491,,,,
492,,,,
493,,,,
494,,,,
495,,,,
496,,,,
497,,,,
498,,,,
499,,,,
500,,,,
501,,,,
502,,,,
503,,,,
504,,,,
505,,,,
506,,,,
507,,,,
508,,,,
509,,,,
510,,,,
511,,,,
512,,,,
513,,,,
514,,,,
515,,,,
516,,,,
517,,,,
518,,,,
519,,,,
520,,,,
521,,,,
522,,,,
523,,,,
524,,,,
525,,,,
526,,,,
527,,,,
528,,,,
529,,,,
530,,,,
531,,,,
532,,,,
533,,,,
534,,,,
535,,,,
536,,,,
537,,,,
538,,,,
539,,,,
540,,,,
541,,,,
542,,,,
543,,,,
544,,,,
545,,,,
546,,,,
547,,,,
548,,,,
549,,,,
550,,,,
551,,,,
552,,,,
553,,,,
554,,,,
555,,,,
556,,,,
557,,,,
558,,,,
559,,,,
560,,,,
561,,,,
562,,,,
563,,,,
564,,,,
565,,,,
566,,,,
567,,,,
568,,,,
569,,,,
570,,,,
