問題番号,問題文,選択肢1(正解),選択肢2,選択肢3,選択肢4,画像
75,Wednesday,水曜日,月曜日,木曜日,祝日,
76,Thursday,木曜日,水曜日,金曜日,祝日,
77,Friday,金曜日,木曜日,土曜日,祝日,
78,Saturday,土曜日,金曜日,日曜日,祝日,
79,spring,春,夏,秋,冬,
80,summer,夏,春,秋,冬,
81,fall,秋,春,冬,夏,
82,autumn,秋,春,冬,夏,
83,winter,冬,秋,春,夏,
84,January,１月,２月,３月,４月,
85,February,２月,１月,３月,４月,
86,March,３月,１月,２月,４月,
87,April,４月,１月,２月,３月,
88,May,５月,１月,２月,３月,
89,June,６月,１月,２月,３月,
90,July,７月,１月,２月,３月,
91,August,８月,１月,２月,３月,
92,September,９月,１月,２月,３月,
93,October,１０月,１月,２月,３月,
94,November,１１月,１月,２月,３月,
95,December,１２月,１月,２月,３月,
96,I,私は,私たちは,私を［に］,私たちのもの,
97,am,～です,～ですよ,～ですように,～ですか,
98,student,学生，生徒,学生,教師,先生,
99,from ～,～から，～の出身で,～から,～の出身です,～から,
100,junior high school,中学校,高校,大学,専門学校,
101,teacher,教師，先生,医者,看護師,学生,
102,doctor,医者，医師,教師,看護師,学生,
103,nurse,看護師,医者,教師,学生,
104,tennis,テニス,野球,サッカー,バスケットボール,
105,player,選手，(スポーツを)する人,ファン,コーチ,審判,
106,soccer,サッカー,野球,テニス,バスケットボール,
107,fan,ファン，愛好家,選手,コーチ,審判,
108,the U.S.,アメリカ合衆国,日本,中国,韓国,
109,Japan,日本,アメリカ,中国,韓国,
110,China,中国,日本,アメリカ,韓国,
111,Korea,韓国・朝鮮,日本,中国,アメリカ,
112,Canada,カナダ,アメリカ,イギリス,オーストラリア,
113,Australia,オーストラリア,ニュージーランド,イギリス,アメリカ,
114,Brazil,ブラジル,アルゼンチン,メキシコ,ペルー,
115,India,インド,パキスタン,バングラデシュ,スリランカ,
116,you,あなたは,彼は,彼女は,私は,
117,are,～です,～ですよ,～ですよね,～ですか。,
118,classmate,同級生，クラスメート,友達,先輩,後輩,
119,Mr.,（男性の姓，姓名につけて）～さん，～先生,（女性の姓につけて）～さん,（男性の名につけて）～くん,（女性の名につけて）～ちゃん,
120,Ms.,（女性の姓，姓名につけて）～さん，～先生,（男性の姓につけて）～さん,（男性の名につけて）～くん,（女性の名につけて）～ちゃん,
121,baseball,野球,サッカー,テニス,バスケットボール,
122,yes,はい,いいえ,すでに,まだ,
123,no,いいえ,はい,すでに,まだ,
124,math,数学,理科,社会,国語,
125,high school,高(等学)校,中学校,小学校,大学,
126,good,よい，上手な,最高の,最悪な,悪い、へただ,
127,singer,歌手，歌う人,俳優,ダンサー,ミュージシャン,
128,basketball,バスケットボール,野球,サッカー,テニス,
129,new,新しい,古い,若い,年をとった,
130,table tennis,卓球,バドミントン,テニス,バレーボール,
131,pilot,パイロット,医者,先生,エンジニア,
132,too,～も,～ではなく,～または,～ですか,
133,football,フットボール,手紙,ニューヨーク,バレーボール,
134,New York,ニューヨーク,フットボール,バレーボール,～を好む，～が好きだ,
135,volleyball,バレーボール,ニューヨーク,～を好む，～が好きだ,テニスをする,
136,like,～を好む，～が好きだ,バレーボール,テニスをする,毎日,
137,play tennis,テニスをする,～を好む，～が好きだ,毎日,かさを持っている,
138,every day,毎日,テニスをする,かさを持っている,（～を）知っている,
139,have an umbrella,かさを持っている,毎日,（～を）知っている,（～を）勉強する,
140,know,（～を）知っている,かさを持っている,（～を）勉強する,～を使う,
141,study,（～を）勉強する,（～を）知っている,～を使う,行く,
142,use,～を使う,（～を）勉強する,行く,～を作る,
143,go,行く,～を使う,～を作る,来る,
144,make,～を作る,行く,来る,ときどき,
145,come,来る,～を作る,ときどき,～がほしい,
146,sometimes,ときどき,来る,～がほしい,ピアノをひく,
147,want,～がほしい,ときどき,ピアノをひく,（～を）話す,
148,play the piano,ピアノをひく,～がほしい,（～を）話す,コンピュータ,
149,speak,（～を）話す,ピアノをひく,コンピュータ,日本語・日本(語)の,
150,computer,コンピュータ,（～を）話す,日本語・日本(語)の,教科，科目,
151,Japanese,日本語・日本(語)の,コンピュータ,教科，科目,あなたのかばん［バッグ］（の中）に,
152,subject,教科，科目,日本語・日本(語)の,あなたのかばん［バッグ］（の中）に,色,
153,in your bag,あなたのかばん［バッグ］（の中）に,教科，科目,色,スポーツ,
154,color,色,あなたのかばん［バッグ］（の中）に,スポーツ,食べ物,
155,sport,スポーツ,色,食べ物,よく，しばしば,
156,food,食べ物,スポーツ,よく，しばしば,コーヒー,
157,often,よく，しばしば,食べ物,コーヒー,～がとても［大］好きだ,
158,coffee,コーヒー,よく，しばしば,～がとても［大］好きだ,とても上手に,
159,like ～ very much,～がとても［大］好きだ,コーヒー,とても上手に,すてきな,
160,very well,とても上手に,～がとても［大］好きだ,すてきな,踊る，ダンスをする,
161,nice,すてきな,とても上手に,踊る，ダンスをする,学校で,
162,dance,踊る，ダンスをする,すてきな,学校で,手,
163,at school,学校で,踊る，ダンスをする,手,午後（に）,
164,hand,手,学校で,午後（に）,音楽室,
165,in the afternoon,午後（に）,手,音楽室,黄色,
166,music room,音楽室,午後（に）,黄色,言語,
167,yellow,黄色,音楽室,言語,バスで,
168,language,言語,黄色,バスで,あまり～ではない,
169,by bus,バスで,言語,あまり～ではない,（～を）歌う,
170,not ～ very much,あまり～ではない,バスで,（～を）歌う,歌,
171,sing,（～を）歌う,あまり～ではない,歌,～をする,
172,song,歌,（～を）歌う,～をする,日曜日に,
173,do,～をする,歌,日曜日に,理科，科学,
174,on Sunday,日曜日に,～をする,理科，科学,（～を）料理する,
175,science,理科，科学,日曜日に,（～を）料理する,昼食,
176,cook,（～を）料理する,理科，科学,昼食,テレビを見る,
177,lunch,昼食,（～を）料理する,テレビを見る,～をそうじする,
178,watch TV,テレビを見る,昼食,～をそうじする,～を必要とする,
179,clean,～をそうじする,テレビを見る,～を必要とする,ここへ，ここに［で］,
180,need,～を必要とする,～をそうじする,ここへ，ここに［で］,朝食に,
181,here,ここへ，ここに［で］,～を必要とする,朝食に,放課後（に）,
182,for breakfast,朝食に,ここへ，ここに［で］,放課後（に）,夕食，ディナー,
183,after school,放課後（に）,朝食に,夕食，ディナー,しかし,
184,dinner,夕食，ディナー,放課後（に）,しかし,スケートをする,
185,but,しかし,夕食，ディナー,スケートをする,上手に，よく,
186,skate,スケートをする,しかし,上手に，よく,泳ぐ,
187,well,上手に，よく,スケートをする,泳ぐ,速く,
188,swim,泳ぐ,上手に，よく,速く,（～を）歌う,
189,fast,速く,泳ぐ,（～を）歌う,（～を）読む，読書する,
190,sing,（～を）歌う,速く,（～を）読む，読書する,歌,
191,read,（～を）読む，読書する,（～を）歌う,歌,スキーをする,
192,song,歌,（～を）読む，読書する,スキーをする,中国語,
193,ski,スキーをする,歌,中国語,走る,
194,Chinese,中国語,スキーをする,走る,いいですよ。,
195,run,走る,中国語,いいですよ。,わかりました。,
196,Sure.,いいですよ。,走る,わかりました。,すみません。ごめんなさい。,
197,All right.,わかりました。,いいですよ。,すみません。ごめんなさい。,～に乗る,
198,I'm sorry.,すみません。ごめんなさい。,わかりました。,～に乗る,踊る，ダンスをする,
199,ride,～に乗る,すみません。ごめんなさい。,踊る，ダンスをする,～に着く,
200,dance,踊る，ダンスをする,～に乗る,～に着く,８時に,
201,get to ～,～に着く,踊る，ダンスをする,８時に,部屋,
202,at eight,８時に,～に着く,部屋,フランス語,
203,room,部屋,８時に,フランス語,（～を）運転する,
204,French,フランス語,部屋,（～を）運転する,自動車，車,
205,drive,（～を）運転する,フランス語,自動車，車,（～に）答える,
206,car,自動車，車,（～を）運転する,（～に）答える,質問，問題,
207,answer,（～に）答える,自動車，車,質問，問題,～を訪問する，～を訪れる,
208,question,質問，問題,（～に）答える,～を訪問する，～を訪れる,今日（は）,
209,visit,～を訪問する，～を訪れる,質問，問題,今日（は）,～が得意［上手］だ,
210,today,今日（は）,～を訪問する，～を訪れる,～が得意［上手］だ,馬,
211,be good at ～,～が得意［上手］だ,今日（は）,馬,（線で絵）をかく,
212,horse,馬,～が得意［上手］だ,（線で絵）をかく,日本語で,
213,draw,（線で絵）をかく,馬,日本語で,～を運ぶ,
214,in Japanese,日本語で,（線で絵）をかく,～を運ぶ,いそがしい,
215,carry,～を運ぶ,日本語で,いそがしい,（～を）開く，開ける,
216,busy,いそがしい,～を運ぶ,（～を）開く，開ける,ドア，戸,
217,open,（～を）開く，開ける,いそがしい,ドア，戸,写真をとる,
218,door,ドア，戸,（～を）開く，開ける,写真をとる,～を…に連れて行く,
219,take a picture,写真をとる,ドア，戸,～を…に連れて行く,子ども,
220,take ～ to …,～を…に連れて行く,写真をとる,子ども,動物園,
221,child,子ども,～を…に連れて行く,動物園,～と話す,
222,zoo,動物園,子ども,～と話す,ちょっとお待ちください。,
223,speak to ～,～と話す,動物園,ちょっとお待ちください。,（～が）見える，～を見る，（人）に会う,
224,Just a minute.,ちょっとお待ちください。,～と話す,（～が）見える，～を見る，（人）に会う,空腹な,
225,see,（～が）見える，～を見る，（人）に会う,ちょっとお待ちください。,空腹な,はい，どうぞ。,
226,hungry,空腹な,（～が）見える，～を見る，（人）に会う,はい，どうぞ。,～を洗う,
227,Here you are.,はい，どうぞ。,空腹な,～を洗う,店,
228,wash,～を洗う,はい，どうぞ。,店,駅,
229,shop,店,～を洗う,駅,図書館，図書室,
230,station,駅,店,図書館，図書室,歩く，歩いていく,
231,library,図書館，図書室,駅,歩く，歩いていく,辞書,
232,walk,歩く，歩いていく,図書館，図書室,辞書,チーム，部,
233,dictionary,辞書,歩く，歩いていく,チーム，部,バドミントン,
234,team,チーム，部,辞書,バドミントン,オレンジ,
235,badminton,バドミントン,チーム，部,オレンジ,これは，こちらは,
236,orange,オレンジ,バドミントン,これは，こちらは,～です,
237,this,これは，こちらは,オレンジ,～です,あれは，あちらは,
238,is,～です,これは，こちらは,あれは，あちらは,リンゴ,
239,that,あれは，あちらは,～です,リンゴ,鳥,
240,apple,リンゴ,あれは，あちらは,鳥,テーブル,
241,bird,鳥,リンゴ,テーブル,ノート,
242,table,テーブル,鳥,ノート,私の,
243,notebook,ノート,テーブル,私の,本,
244,my,私の,ノート,本,あなたの,
245,book,本,私の,あなたの,名前,
246,your,あなたの,本,名前,母,
247,name,名前,あなたの,母,いす,
248,mother,母,名前,いす,ギター,
249,chair,いす,母,ギター,ネコ,
250,guitar,ギター,いす,ネコ,机,
251,cat,ネコ,ギター,机,自転車,
252,desk,机,ネコ,自転車,ボール,
253,bike,自転車,机,ボール,カップ，茶わん,
254,ball,ボール,自転車,カップ，茶わん,えんぴつ,
255,cup,カップ，茶わん,ボール,えんぴつ,何,
256,pencil,えんぴつ,カップ，茶わん,何,コンピュータ,
257,what,何,えんぴつ,コンピュータ,箱,
258,computer,コンピュータ,何,箱,ジェット機,
259,box,箱,コンピュータ,ジェット機,学校,
260,jet,ジェット機,箱,学校,卵,
261,school,学校,ジェット機,卵,よい，上手な,
262,egg,卵,学校,よい，上手な,数学,
263,good,よい，上手な,卵,数学,ラケット,
264,math,数学,よい，上手な,ラケット,動物,
265,racket,ラケット,数学,動物,トランペット,
266,animal,動物,ラケット,トランペット,人形,
267,trumpet,トランペット,動物,人形,列車，電車,
268,doll,人形,トランペット,列車，電車,レストラン,
269,train,列車，電車,人形,レストラン,病院,
270,restaurant,レストラン,列車，電車,病院,カメラ,
271,hospital,病院,レストラン,カメラ,バス,
272,camera,カメラ,病院,バス,メロン,
273,bus,バス,カメラ,メロン,フルート,
274,melon,メロン,バス,フルート,教室,
275,flute,フルート,メロン,教室,ゾウ,
276,classroom,教室,フルート,ゾウ,古い,
277,elephant,ゾウ,教室,古い,部屋,
278,old,古い,ゾウ,部屋,すてきな,
279,room,部屋,古い,すてきな,～も(また),
280,nice,すてきな,部屋,～も(また),なるほど。わかりました。,
281,too,～も(また),すてきな,なるほど。わかりました。,すばらしい，すごい,
282,I see.,なるほど。わかりました。,～も(また),すばらしい，すごい,（ふちのない）ぼうし,
283,great,すばらしい，すごい,なるほど。わかりました。,（ふちのない）ぼうし,大きい,
284,cap,（ふちのない）ぼうし,すばらしい，すごい,大きい,公園,
285,big,大きい,（ふちのない）ぼうし,公園,これは［こちらは］・この［こちらの］,
286,park,公園,大きい,これは［こちらは］・この［こちらの］,彼は,
287,this,これは［こちらは］・この［こちらの］,公園,彼は,医者，医師,
288,he,彼は,これは［こちらは］・この［こちらの］,医者，医師,彼女は,
289,doctor,医者，医師,彼は,彼女は,友達,
290,she,彼女は,医者，医師,友達,男の子，少年,
291,friend,友達,彼女は,男の子，少年,兄，弟,
292,boy,男の子，少年,友達,兄，弟,女の子，少女,
293,brother,兄，弟,男の子，少年,女の子，少女,姉，妹,
294,girl,女の子，少女,兄，弟,姉，妹,教師，先生,
295,sister,姉，妹,女の子，少女,教師，先生,～から，～の出身で,
296,teacher,教師，先生,姉，妹,～から，～の出身で,サッカー,
297,from ～,～から，～の出身で,教師，先生,サッカー,ファン，愛好家,
298,soccer,サッカー,～から，～の出身で,ファン，愛好家,父,
299,fan,ファン，愛好家,サッカー,父,数学,
300,father,父,ファン，愛好家,数学,母,
301,math,数学,父,母,よい，上手な,
302,mother,母,数学,よい，上手な,テニス,
303,good,よい，上手な,母,テニス,選手，(スポーツを)する人,
304,tennis,テニス,よい，上手な,選手，(スポーツを)する人,同級生，クラスメート,
305,player,選手，(スポーツを)する人,テニス,同級生，クラスメート,学生，生徒,
306,classmate,同級生，クラスメート,選手，(スポーツを)する人,学生，生徒,カナダ,
307,student,学生，生徒,同級生，クラスメート,カナダ,歌手，歌う人,
308,Canada,カナダ,学生，生徒,歌手，歌う人,英語（の）,
309,singer,歌手，歌う人,カナダ,英語（の）,野球,
310,English,英語（の）,歌手，歌う人,野球,だれ,
311,baseball,野球,英語（の）,だれ,あれは［あちらは］・あの［あちらの］,
312,who,だれ,野球,あれは［あちらは］・あの［あちらの］,男の人，男性,
313,that,あれは［あちらは］・あの［あちらの］,だれ,男の人，男性,彼の,
314,man,男の人，男性,あれは［あちらは］・あの［あちらの］,彼の,～も(また),
315,his,彼の,男の人，男性,～も(また),彼女の,
316,too,～も(また),彼の,彼女の,それの，その,
317,her,彼女の,～も(また),それの，その,名前,
318,its,それの，その,彼女の,名前,女の人，女性,
319,name,名前,それの，その,女の人，女性,祖父，おじいさん,
320,woman,女の人，女性,名前,祖父，おじいさん,理科，科学,
321,grandfather,祖父，おじいさん,女の人，女性,理科，科学,(既婚女性の姓につけて)～さん，～夫人,
322,science,理科，科学,祖父，おじいさん,(既婚女性の姓につけて)～さん，～夫人,俳優,
323,Mrs.,(既婚女性の姓につけて)～さん，～夫人,理科，科学,俳優,看護師,
324,actor,俳優,(既婚女性の姓につけて)～さん，～夫人,看護師,おじ,
325,nurse,看護師,俳優,おじ,おば,
326,uncle,おじ,看護師,おば,芸術家，画家,
327,aunt,おば,おじ,芸術家，画家,パイロット,
328,artist,芸術家，画家,おば,パイロット,テーブル,
329,pilot,パイロット,芸術家，画家,テーブル,日本語（の）,
330,table,テーブル,パイロット,日本語（の）,カメラ,
331,Japanese,日本語（の）,テーブル,カメラ,音楽,
332,camera,カメラ,日本語（の）,音楽,オーストラリア,
333,music,音楽,カメラ,オーストラリア,ラケット,
334,Australia,オーストラリア,音楽,ラケット,背の高い,
335,racket,ラケット,オーストラリア,背の高い,腕時計,
336,tall,背の高い,ラケット,腕時計,（～が）見える，～を見る，（人）に会う,
337,watch,腕時計,背の高い,（～が）見える，～を見る，（人）に会う,たくさんの,
338,see,（～が）見える，～を見る，（人）に会う,腕時計,たくさんの,childの複数形,
339,many,たくさんの,（～が）見える，～を見る，（人）に会う,childの複数形,国,
340,children,childの複数形,たくさんの,国,ナイフ,
341,country,国,childの複数形,ナイフ,manの複数形,
342,knife,ナイフ,国,manの複数形,womanの複数形,
343,men,manの複数形,ナイフ,womanの複数形,魚(複数形も同じ形),
344,women,womanの複数形,manの複数形,魚(複数形も同じ形),13(の),
345,fish,魚(複数形も同じ形),womanの複数形,13(の),14(の),
346,thirteen,13(の),魚(複数形も同じ形),14(の),15(の),
347,fourteen,14(の),13(の),15(の),20(の),
348,fifteen,15(の),14(の),20(の),30(の),
349,twenty,20(の),15(の),30(の),40(の),
350,thirty,30(の),20(の),40(の),辞書,
351,forty,40(の),30(の),辞書,コイン,
352,dictionary,辞書,40(の),コイン,計画，予定,
353,coin,コイン,辞書,計画，予定,次の,
354,plan,計画，予定,コイン,次の,私たちは,
355,next,次の,計画，予定,私たちは,彼らは，彼女らは，それらは,
356,we,私たちは,次の,彼らは，彼女らは，それらは,私たちの,
357,they,彼らは，彼女らは，それらは,私たちは,私たちの,これらは・これらの,
358,our,私たちの,彼らは，彼女らは，それらは,これらは・これらの,あれらは・あれらの,
359,these,これらは・これらの,私たちの,あれらは・あれらの,彼らの，彼女らの，それらの,
360,those,あれらは・あれらの,これらは・これらの,彼らの，彼女らの，それらの,絵，写真,
361,their,彼らの，彼女らの，それらの,あれらは・あれらの,絵，写真,今日（は）,
362,picture,絵，写真,彼らの，彼女らの，それらの,今日（は）,授業，クラス,
363,today,今日（は）,絵，写真,授業，クラス,葉,
364,class,授業，クラス,今日（は）,葉,浜辺，ビーチ,
365,leaf,葉,授業，クラス,浜辺，ビーチ,トマト,
366,beach,浜辺，ビーチ,葉,トマト,皿,
367,tomato,トマト,浜辺，ビーチ,皿,（ガラスの）コップ，グラス,
368,dish,皿,トマト,（ガラスの）コップ，グラス,～と…,
369,glass,（ガラスの）コップ，グラス,皿,～と…,だから,
370,～ and …,～と…,（ガラスの）コップ，グラス,だから,プレゼント,
371,so,だから,～と…,プレゼント,午前，朝,
372,present,プレゼント,だから,午前，朝,午後,
373,morning,午前，朝,プレゼント,午後,～夫妻,
374,afternoon,午後,午前，朝,～夫妻,図書館，図書室,
375,Mr. and Mrs.,～夫妻,午後,図書館，図書室,都市,
376,library,図書館，図書室,～夫妻,都市,おもしろい，興味深い,
377,city,都市,図書館，図書室,おもしろい，興味深い,黒い,
378,interesting,おもしろい，興味深い,都市,黒い,小さい，（小さくて）かわいい,
379,black,黒い,おもしろい，興味深い,小さい，（小さくて）かわいい,たくさんの～,
380,little,小さい，（小さくて）かわいい,黒い,たくさんの～,～が大好きである,
381,a lot of ～,たくさんの～,小さい，（小さくて）かわいい,～が大好きである,パンダ,
382,love,～が大好きである,たくさんの～,パンダ,マンガ本,
383,panda,パンダ,～が大好きである,マンガ本,スポーツ,
384,comic book,マンガ本,パンダ,スポーツ,約～，およそ～,
385,sport,スポーツ,マンガ本,約～，およそ～,新しい,
386,about ～,約～，およそ～,スポーツ,新しい,親切な,
387,new,新しい,約～，およそ～,親切な,(大きさが)大きい，広い,
388,kind,親切な,新しい,(大きさが)大きい，広い,(大きさが)小さい，せまい,
389,large,(大きさが)大きい，広い,親切な,(大きさが)小さい，せまい,大きい,
390,small,(大きさが)小さい，せまい,(大きさが)大きい，広い,大きい,小さい，（小さくて）かわいい,
391,big,大きい,(大きさが)小さい，せまい,小さい，（小さくて）かわいい,古い，年とった,
392,little,小さい，（小さくて）かわいい,大きい,古い，年とった,若い,
393,old,古い，年とった,小さい，（小さくて）かわいい,若い,長い,
394,young,若い,古い，年とった,長い,短い，背の低い,
395,long,長い,若い,短い，背の低い,背の高い,
396,short,短い，背の低い,長い,背の高い,おもしろい，興味深い,
397,tall,背の高い,短い，背の低い,おもしろい，興味深い,とても,
398,interesting,おもしろい，興味深い,背の高い,とても,熱心に，一生けん命に・熱心な,
399,very,とても,おもしろい，興味深い,熱心に，一生けん命に・熱心な,起きる,
400,hard,熱心に，一生けん命に・熱心な,とても,起きる,早く・早い,
401,get up,起きる,熱心に，一生けん命に・熱心な,早く・早い,いつも,
402,early,早く・早い,起きる,いつも,いそがしい,
403,always,いつも,早く・早い,いそがしい,そんなに，とても,
404,busy,いそがしい,いつも,そんなに，とても,あまりにも～すぎる，～も（また）,
405,so,そんなに，とても,いそがしい,あまりにも～すぎる，～も（また）,上手に，よく,
406,too,あまりにも～すぎる，～も（また）,そんなに，とても,上手に，よく,速く・速い,
407,well,上手に，よく,あまりにも～すぎる，～も（また）,速く・速い,走る,
408,fast,速く・速い,上手に，よく,走る,たいてい,
409,run,走る,速く・速い,たいてい,しばしば，よく,
410,usually,たいてい,走る,しばしば，よく,ときどき,
411,often,しばしば，よく,たいてい,ときどき,走者，走る人,
412,sometimes,ときどき,しばしば，よく,走者，走る人,美しい,
413,runner,走者，走る人,ときどき,美しい,切手,
414,beautiful,美しい,走者，走る人,切手,簡単な，やさしい,
415,stamp,切手,美しい,簡単な，やさしい,質問，問題,
416,easy,簡単な，やさしい,切手,質問，問題,おいしい,
417,question,質問，問題,簡単な，やさしい,おいしい,サンドイッチ,
418,delicious,おいしい,質問，問題,サンドイッチ,かわいい，きれいな,
419,sandwich,サンドイッチ,おいしい,かわいい，きれいな,寝る,
420,pretty,かわいい，きれいな,サンドイッチ,寝る,６時に,
421,go to bed,寝る,かわいい，きれいな,６時に,働く,
422,at six,６時に,寝る,働く,働く人，勉強する人,
423,work,働く,６時に,働く人，勉強する人,雑誌,
424,worker,働く人，勉強する人,働く,雑誌,～を飲む,
425,magazine,雑誌,働く人，勉強する人,～を飲む,ハンバーガー,
426,drink,～を飲む,雑誌,ハンバーガー,韓国［朝鮮］の・韓国［朝鮮］人［語］,
427,hamburger,ハンバーガー,～を飲む,韓国［朝鮮］の・韓国［朝鮮］人［語］,ゆっくり,
428,Korean,韓国［朝鮮］の・韓国［朝鮮］人［語］,ハンバーガー,ゆっくり,(時刻や時期が)遅く・遅い,
429,slowly,ゆっくり,韓国［朝鮮］の・韓国［朝鮮］人［語］,(時刻や時期が)遅く・遅い,難しい,
430,late,(時刻や時期が)遅く・遅い,ゆっくり,難しい,人気がある,
431,difficult,難しい,(時刻や時期が)遅く・遅い,人気がある,お気に入りの，大好きな,
432,popular,人気がある,難しい,お気に入りの，大好きな,～はどうですか。,
433,favorite,お気に入りの，大好きな,人気がある,～はどうですか。,本当に,
434,How about ～?,～はどうですか。,お気に入りの，大好きな,本当に,家で,
435,really,本当に,～はどうですか。,家で,すわる,
436,at home,家で,本当に,すわる,やさしい，親切な,
437,sit down,すわる,家で,やさしい，親切な,動物,
438,kind,やさしい，親切な,すわる,動物,～を閉める，閉じる，（店などが）閉まる,
439,animal,動物,やさしい，親切な,～を閉める，閉じる，（店などが）閉まる,わかりました。,
440,close,～を閉める，閉じる，（店などが）閉まる,動物,わかりました。,（～を）開く，開ける,
441,All right.,わかりました。,～を閉める，閉じる，（店などが）閉まる,（～を）開く，開ける,ドア，戸,
442,open,（～を）開く，開ける,わかりました。,ドア，戸,窓,
443,door,ドア，戸,（～を）開く，開ける,窓,ごめんなさい。すみません。,
444,window,窓,ドア，戸,ごめんなさい。すみません。,（～を）読む，読書する,
445,I'm sorry.,ごめんなさい。すみません。,窓,（～を）読む，読書する,泳ぐ,
446,read,（～を）読む，読書する,ごめんなさい。すみません。,泳ぐ,～を食べる,
447,swim,泳ぐ,（～を）読む，読書する,～を食べる,今（は）,
448,eat,～を食べる,泳ぐ,今（は）,動物園,
449,now,今（は）,～を食べる,動物園,注意深い，気をつけて,
450,zoo,動物園,今（は）,注意深い，気をつけて,祖父，おじいさん,
451,careful,注意深い，気をつけて,動物園,祖父，おじいさん,立ち上がる,
452,grandfather,祖父，おじいさん,注意深い，気をつけて,立ち上がる,～を書く,
453,stand up,立ち上がる,祖父，おじいさん,～を書く,静かな,
454,write,～を書く,立ち上がる,静かな,湖,
455,quiet,静かな,～を書く,湖,（～を）横切る，渡る,
456,lake,湖,静かな,（～を）横切る，渡る,通り,
457,cross,（～を）横切る，渡る,湖,通り,～を聞く,
458,street,通り,（～を）横切る，渡る,～を聞く,～を洗う,
459,listen to ～,～を聞く,通り,～を洗う,皿,
460,wash,～を洗う,～を聞く,皿,～を楽しむ,
461,dish,皿,～を洗う,～を楽しむ,パーティー,
462,enjoy,～を楽しむ,皿,パーティー,写真を撮る,
463,party,パーティー,～を楽しむ,写真を撮る,～を訪問する，訪れる,
464,take a picture,写真を撮る,パーティー,～を訪問する，訪れる,教科書,
465,visit,～を訪問する，訪れる,写真を撮る,教科書,ページ,
466,textbook,教科書,～を訪問する，訪れる,ページ,恥ずかしがる，内気な,
