問題番号,問題文,選択肢1(正解),選択肢2,選択肢3,選択肢4
51,one day,ある日,(～しようと)努める，（～を）試してみる,難しい,あまりにも～，～すぎる
52,difficult,難しい,ある日,忙しい,(～しようと)努める，（～を）試してみる
53,busy,忙しい,難しい,昨日の午後,ある日
54,yesterday afternoon,昨日の午後,忙しい,病気の,難しい
55,sick,病気の,昨日の午後,遅れた，遅刻した・遅く(に),忙しい
56,late,遅れた，遅刻した・遅く(に),病気の,友達,昨日の午後
57,friend,友達,遅れた，遅刻した・遅く(に),そのとき,病気の
58,at that time,そのとき,友達,空腹な,遅れた，遅刻した・遅く(に)
59,hungry,空腹な,そのとき,くもりの，くもった,友達
60,cloudy,くもりの，くもった,空腹な,昨日の朝[午前],そのとき
61,yesterday morning,昨日の朝[午前],くもりの，くもった,親[parentsで「両親」],空腹な
62,parent,親[parentsで「両親」],昨日の朝[午前],選手，競技者，プレーヤー,くもりの，くもった
63,player,選手，競技者，プレーヤー,親[parentsで「両親」],台所,昨日の朝[午前]
64,kitchen,台所,選手，競技者，プレーヤー,歌手，歌う人,親[parentsで「両親」]
65,singer,歌手，歌う人,台所,そのとき，それから,選手，競技者，プレーヤー
66,then,そのとき，それから,歌手，歌う人,雨の，雨降りの,台所
67,rainy,雨の，雨降りの,そのとき，それから,晴れの，晴れた,歌手，歌う人
68,sunny,晴れの，晴れた,雨の，雨降りの,～を聞く,そのとき，それから
69,listen to ～,～を聞く,晴れの，晴れた,音楽,雨の，雨降りの
70,music,音楽,～を聞く,（文字［文章］）を書く,晴れの，晴れた
71,write,（文字［文章］）を書く,音楽,歩く,～を聞く
72,walk,歩く,（文字［文章］）を書く,泳ぐ,音楽
73,swim,泳ぐ,歩く,庭，庭園,（文字［文章］）を書く
74,garden,庭，庭園,泳ぐ,カメラ,歩く
75,camera,カメラ,庭，庭園,高価な,泳ぐ
76,expensive,高価な,カメラ,腕時計,庭，庭園
77,watch,腕時計,高価な,テーブル,カメラ
78,table,テーブル,腕時計,疲れた,高価な
79,tired,疲れた,テーブル,ウサギ,腕時計
80,rabbit,ウサギ,疲れた,親切な,テーブル
81,kind,親切な,ウサギ,天気，天候,疲れた
82,weather,天気，天候,親切な,金持ちの，裕福な,ウサギ
83,rich,金持ちの，裕福な,天気，天候,昨夜,親切な
84,last night,昨夜,金持ちの，裕福な,ひまな，自由な,天気，天候
85,free,ひまな，自由な,昨夜,激しく,金持ちの，裕福な
86,hard,激しく,ひまな，自由な,雪が降る,昨夜
87,snow,雪が降る,激しく,昼食,ひまな，自由な
88,lunch,昼食,雪が降る,宿題,激しく
89,homework,宿題,昼食,居間,雪が降る
90,living room,居間,宿題,眠る,昼食
91,sleep,眠る,居間,理科，科学,宿題
92,science,理科，科学,眠る,教科書,居間
93,textbook,教科書,理科，科学,～と…の間に,眠る
94,between ～ and ... ,～と…の間に,教科書,駅,理科，科学
95,station,駅,～と…の間に,サラダ,教科書
96,salad,サラダ,駅,メンバー，一員,～と…の間に
97,member,メンバー，一員,サラダ,おもしろいこと,駅
98,fun,おもしろいこと,メンバー，一員,（～と）叫ぶ,サラダ
99,shout,（～と）叫ぶ,おもしろいこと,家族,メンバー，一員
100,family,家族,（～と）叫ぶ,ただ～だけ，ほんの～にすぎない,おもしろいこと
101,only,ただ～だけ，ほんの～にすぎない,家族,短い,（～と）叫ぶ
102,short,短い,ただ～だけ，ほんの～にすぎない,重要な，大切な,家族
103,important,重要な，大切な,短い,また，再び,ただ～だけ，ほんの～にすぎない
104,again,また，再び,重要な，大切な,～を買う,短い
105,buy,～を買う,また，再び,明日,重要な，大切な
106,tomorrow,明日,～を買う,夕食，デイナー,また，再び
107,dinner,夕食，デイナー,明日,次の，今度の,～を買う
108,next,次の，今度の,夕食，デイナー,バレーボール,明日
109,volleyball,バレーボール,次の，今度の,リンゴ,夕食，デイナー
110,apple,リンゴ,バレーボール,～を手伝う，～を助ける,次の，今度の
111,help,～を手伝う，～を助ける,リンゴ,～を訪問する，～を訪ねる,バレーボール
112,visit,～を訪問する，～を訪ねる,～を手伝う，～を助ける,ロンドン,リンゴ
113,London,ロンドン,～を訪問する，～を訪ねる,コンピュータ,～を手伝う，～を助ける
114,computer,コンピュータ,ロンドン,魚つりに行く,～を訪問する，～を訪ねる
115,go fishing,魚つりに行く,コンピュータ,放課後,ロンドン
116,after school,放課後,魚つりに行く,～をそうじする，～をきれいにする,コンピュータ
117,clean,～をそうじする，～をきれいにする,放課後,(暦の)月,魚つりに行く
118,month,(暦の)月,～をそうじする，～をきれいにする,カレー,放課後
119,curry,カレー,(暦の)月,地球,～をそうじする，～をきれいにする
120,earth,地球,カレー,～の周りを［に］,(暦の)月
121,around,～の周りを［に］,地球,太陽,カレー
122,sun,太陽,～の周りを［に］,週末,地球
123,weekend,週末,太陽,夏,～の周りを［に］
124,summer,夏,週末,（～を）歌う,太陽
125,sing,（～を）歌う,夏,歌,週末
126,song,歌,（～を）歌う,（～を）料理する，料理をする,夏
127,cook,（～を）料理する，料理をする,歌,夕方，晩,（～を）歌う
128,evening,夕方，晩,（～を）料理する，料理をする,～で，～を使って［交通手段］,歌
129,by,～で，～を使って［交通手段］,夕方，晩,列車，電車,（～を）料理する，料理をする
130,train,列車，電車,～で，～を使って［交通手段］,滞在する,夕方，晩
131,stay,滞在する,列車，電車,ホテル,～で，～を使って［交通手段］
132,hotel,ホテル,滞在する,速く,列車，電車
133,fast,速く,ホテル,到着する，着く,滞在する
134,arrive,到着する，着く,速く,駅,ホテル
135,station,駅,到着する，着く,フランス料理,速く
136,French food,フランス料理,駅,予定，計画,到着する，着く
137,plan,予定，計画,フランス料理,女性，婦人,駅
138,woman,女性，婦人,予定，計画,買い物に行く,フランス料理
139,go shopping,買い物に行く,女性，婦人,ふつう，たいてい,予定，計画
140,usually,ふつう，たいてい,買い物に行く,自転車,女性，婦人
141,bicycle,自転車,ふつう，たいてい,くもりの，くもった,買い物に行く
142,cloudy,くもりの，くもった,自転車,金持ちの，裕福な,ふつう，たいてい
143,rich,金持ちの，裕福な,くもりの，くもった,紙,自転車
144,paper,紙,金持ちの，裕福な,～を使って，～で,くもりの，くもった
145,with,～を使って，～で,紙,誕生日,金持ちの，裕福な
146,birthday,誕生日,～を使って，～で,大学,紙
147,college,大学,誕生日,春,～を使って，～で
148,spring,春,大学,市役所,誕生日
149,city hall,市役所,春,～を連れて行く，～を持って行く,大学
150,take ,～を連れて行く，～を持って行く,市役所,日付,春
151,date,日付,～を連れて行く，～を持って行く,場所,市役所
152,place,場所,日付,～に沿って,～を連れて行く，～を持って行く
153,along,～に沿って,場所,スケジュール，時間割,日付
154,schedule,スケジュール，時間割,～に沿って,～を選ぶ,場所
155,choose,～を選ぶ,スケジュール，時間割,偉大な，大きな，すばらしい,～に沿って
156,great,偉大な，大きな，すばらしい,～を選ぶ,（～を）運転する,スケジュール，時間割
157,drive,（～を）運転する,偉大な，大きな，すばらしい,（～を）思い出す，覚えている,～を選ぶ
158,remember,（～を）思い出す，覚えている,（～を）運転する,いいですとも，もちろん，そのとおり,偉大な，大きな，すばらしい
159,sure,いいですとも，もちろん，そのとおり,（～を）思い出す，覚えている,もちろん,（～を）運転する
160,of course,もちろん,いいですとも，もちろん，そのとおり,川,（～を）思い出す，覚えている
161,river,川,もちろん,（～を）開ける，（～が）開く,いいですとも，もちろん，そのとおり
162,open,（～を）開ける，（～が）開く,川,～の前に・以前に,もちろん
163,before,～の前に・以前に,（～を）開ける，（～が）開く,すぐに，まもなく,川
164,soon,すぐに，まもなく,～の前に・以前に,写真，絵,（～を）開ける，（～が）開く
165,picture,写真，絵,すぐに，まもなく,病気の,～の前に・以前に
166,sick,病気の,写真，絵,アメリカ人・アメリカ(人)の,すぐに，まもなく
167,American,アメリカ人・アメリカ(人)の,病気の,早く,写真，絵
168,early,早く,アメリカ人・アメリカ(人)の,～を終える,病気の
169,finish,～を終える,早く,仕事・働く,アメリカ人・アメリカ(人)の
170,work,仕事・働く,～を終える,（文字［文章］）を書く,早く
171,write,（文字［文章］）を書く,仕事・働く,～を洗う,～を終える
172,wash,～を洗う,（文字［文章］）を書く,皿,仕事・働く
173,dish,皿,～を洗う,１杯の～,（文字［文章］）を書く
174,a cup of ～,１杯の～,皿,心配する，気にする,～を洗う
175,worry,心配する，気にする,１杯の～,台所,皿
176,kitchen,台所,心配する，気にする,～に乗る,１杯の～
177,ride,～に乗る,台所,～に答える,心配する，気にする
178,answer,～に答える,～に乗る,質問，問題,台所
179,question,質問，問題,～に答える,涼しい,～に乗る
180,cool,涼しい,質問，問題,宿題,～に答える
181,homework,宿題,涼しい,～を学ぶ,質問，問題
182,learn,～を学ぶ,宿題,言語,涼しい
183,language,言語,～を学ぶ,祖母,宿題
184,grandmother,祖母,言語,野菜,～を学ぶ
185,vegetable,野菜,祖母,サンドイッチ,言語
186,sandwich,サンドイッチ,野菜,コンサート,祖母
187,concert,コンサート,サンドイッチ,ゆっくりと,野菜
188,slowly,ゆっくりと,コンサート,～を運ぶ,サンドイッチ
189,carry,～を運ぶ,ゆっくりと,寒い，冷たい,コンサート
190,cold,寒い，冷たい,～を運ぶ,外に［へ，で］,ゆっくりと
191,outside,外に［へ，で］,寒い，冷たい,宇宙,～を運ぶ
192,space,宇宙,外に［へ，で］,将来,寒い，冷たい
193,in the future,将来,宇宙,伝言，メッセージ,外に［へ，で］
194,message,伝言，メッセージ,将来,泳ぎに行く,宇宙
195,go swimming,泳ぎに行く,伝言，メッセージ,考え，アイデア,将来
196,idea,考え，アイデア,泳ぎに行く,十分な,伝言，メッセージ
197,enough,十分な,考え，アイデア,人々,泳ぎに行く
198,people,人々,十分な,スケートをする,考え，アイデア
199,skate,スケートをする,人々,～を探す,十分な
200,look for ～,～を探す,スケートをする,ドレス,人々
201,dress,ドレス,～を探す,魚つりに行く,スケートをする
202,go fishing,魚つりに行く,ドレス,まず最初に，第１に,～を探す
203,first,まず最初に，第１に,魚つりに行く,コミュニケーション,ドレス
204,communication,コミュニケーション,まず最初に，第１に,例えば,魚つりに行く
205,for example,例えば,コミュニケーション,（～を）理解する，わかる,まず最初に，第１に
206,understand,（～を）理解する，わかる,例えば,文化,コミュニケーション
207,culture,文化,（～を）理解する，わかる,注意深い，気をつける,例えば
208,careful,注意深い，気をつける,文化,教室,（～を）理解する，わかる
209,classroom,教室,注意深い，気をつける,まっすぐに,文化
210,straight,まっすぐに,教室,建物,注意深い，気をつける
211,building,建物,まっすぐに,～の左側に,教室
212,on one’s left,～の左側に,建物,起きる,まっすぐに
213,get up,起きる,～の左側に,～に遅れる,建物
214,be late for ～,～に遅れる,起きる,親切な,～の左側に
215,kind,親切な,～に遅れる,人々,起きる
216,people,人々,親切な,静かな,～に遅れる
217,quiet,静かな,人々,熱心に，一生懸命に,親切な
218,hard,熱心に，一生懸命に,静かな,湖,人々
219,lake,湖,熱心に，一生懸命に,踊る,静かな
220,dance,踊る,湖,いっしょに,熱心に，一生懸命に
221,together,いっしょに,踊る,～を閉める，閉じる，（店などが）閉まる,湖
222,close,～を閉める，閉じる，（店などが）閉まる,いっしょに,窓,踊る
223,window,窓,～を閉める，閉じる，（店などが）閉まる,魚つりに行く,いっしょに
224,go fishing,魚つりに行く,窓,～に話す,～を閉める，閉じる，（店などが）閉まる
225,tell,～に話す,魚つりに行く,～について,窓
226,about,～について,～に話す,国,魚つりに行く
227,country,国,～について,歩く,～に話す
228,walk,歩く,国,急ぐ,～について
229,hurry up,急ぐ,歩く,新聞,国
230,newspaper,新聞,急ぐ,～を学ぶ,歩く
231,learn,～を学ぶ,新聞,もの，こと,急ぐ
232,thing,もの，こと,～を学ぶ,図書館，図書室,新聞
233,library,図書館，図書室,もの，こと,～の右側に,～を学ぶ
234,on one’s right,～の右側に,図書館，図書室,～に触れる，さわる,もの，こと
235,touch,～に触れる，さわる,～の右側に,寝る,図書館，図書室
236,go to bed,寝る,～に触れる，さわる,手,～の右側に
237,hand,手,寝る,映画を見に行く,～に触れる，さわる
238,go to the movies,映画を見に行く,手,今夜（は）,寝る
239,tonight,今夜（は）,映画を見に行く,みんな，すべての人,手
240,everyone,みんな，すべての人,今夜（は）,～に沿って,映画を見に行く
241,along,～に沿って,みんな，すべての人,通り,今夜（は）
242,street,通り,～に沿って,曲がる，回る,みんな，すべての人
243,turn,曲がる，回る,通り,曲がり角,～に沿って
244,corner,曲がり角,曲がる，回る,～を上げる,通り
245,raise,～を上げる,曲がり角,頭,曲がる，回る
246,head,頭,～を上げる,教科書,曲がり角
247,textbook,教科書,頭,授業，レッスン,～を上げる
248,lesson,授業，レッスン,教科書,書店,頭
249,bookstore,書店,授業，レッスン,最初に，第１に・最初の，１番目の,教科書
250,first,最初に，第１に・最初の，１番目の,書店,危険な,授業，レッスン
251,dangerous,危険な,最初に，第１に・最初の，１番目の,問題,書店
252,problem,問題,危険な,同じ,最初に，第１に・最初の，１番目の
253,same,同じ,問題,２番目の,危険な
254,second,２番目の,同じ,３番目の,問題
255,third,３番目の,２番目の,試合，ゲーム,同じ
256,game,試合，ゲーム,３番目の,～を見つける,２番目の
257,find,～を見つける,試合，ゲーム,方法,３番目の
258,way,方法,～を見つける,金持ちの,試合，ゲーム
259,rich,金持ちの,方法,～か…かどちらか,～を見つける
260,either ～ or ...,～か…かどちらか,金持ちの,ウサギ,方法
261,rabbit,ウサギ,～か…かどちらか,急ぐ,金持ちの
262,hurry up,急ぐ,ウサギ,～に乗る，（乗り物など）に間に合う,～か…かどちらか
263,catch,～に乗る，（乗り物など）に間に合う,急ぐ,遅れた，遅刻した,ウサギ
264,late,遅れた，遅刻した,～に乗る，（乗り物など）に間に合う,帰宅する,急ぐ
265,get home,帰宅する,遅れた，遅刻した,(なぜなら)～だから,～に乗る，（乗り物など）に間に合う
266,because,(なぜなら)～だから,帰宅する,～する前に,遅れた，遅刻した
267,before,～する前に,(なぜなら)～だから,～したあとで,帰宅する
268,after,～したあとで,～する前に,～している間,(なぜなら)～だから
269,while,～している間,～したあとで,～するまで(ずっと),～する前に
270,until,～するまで(ずっと),～している間,映画,～したあとで
271,movie,映画,～するまで(ずっと),看護師,～している間
272,nurse,看護師,映画,～を聞く，耳にする,～するまで(ずっと)
273,hear,～を聞く，耳にする,看護師,thinkの過去形,映画
274,thought,thinkの過去形,～を聞く，耳にする,[暦の]月,看護師
275,month,[暦の]月,thinkの過去形,～に来る,～を聞く，耳にする
276,come to ～,～に来る,[暦の]月,寒い，冷たい,thinkの過去形
277,cold,寒い，冷たい,～に来る,～に乗り遅れる,[暦の]月
278,miss,～に乗り遅れる,寒い，冷たい,曲がり角,～に来る
279,corner,曲がり角,～に乗り遅れる,科学者,寒い，冷たい
280,scientist,科学者,曲がり角,辞書,～に乗り遅れる
281,dictionary,辞書,科学者,今夜（は）,曲がり角
282,tonight,今夜（は）,辞書,いっしょに,科学者
283,together,いっしょに,今夜（は）,ピクニックに行く,辞書
284,go on a picnic,ピクニックに行く,いっしょに,晴れの，晴れた,今夜（は）
285,sunny,晴れの，晴れた,ピクニックに行く,空港,いっしょに
286,airport,空港,晴れの，晴れた,知らせ，ニュース,ピクニックに行く
287,news,知らせ，ニュース,空港,人気のある,晴れの，晴れた
288,popular,人気のある,知らせ，ニュース,答え,空港
289,answer,答え,人気のある,正しい,知らせ，ニュース
290,right,正しい,答え,～のところに泊まる,人気のある
291,stay with ～,～のところに泊まる,正しい,悪い,答え
292,bad,悪い,～のところに泊まる,学園祭,正しい
293,school festival,学園祭,悪い,ひまな，自由な,～のところに泊まる
294,free,ひまな，自由な,学園祭,くもりの，くもった,悪い
295,cloudy,くもりの，くもった,ひまな，自由な,旅行する,学園祭
296,travel,旅行する,くもりの，くもった,外国に［へ］,ひまな，自由な
297,abroad,外国に［へ］,旅行する,～を始める,くもりの，くもった
298,start,～を始める,外国に［へ］,会議，集会，会合,旅行する
299,meeting,会議，集会，会合,～を始める,最終列車,外国に［へ］
300,last train,最終列車,会議，集会，会合,～に合格する,～を始める
301,pass,～に合格する,最終列車,話す人，話し手,会議，集会，会合
302,speaker,話す人，話し手,～に合格する,重い,最終列車
303,heavy,重い,話す人，話し手,世界中の［に］,～に合格する
304,around the world,世界中の［に］,重い,トマト,話す人，話し手
305,tomato,トマト,世界中の［に］,～を見る,重い
306,look at ～,～を見る,トマト,最初は,世界中の［に］
307,at first,最初は,～を見る,十分な,トマト
308,enough,十分な,最初は,eatの過去形,～を見る
309,ate,eatの過去形,十分な,findの過去形,最初は
310,found,findの過去形,eatの過去形,～の下に,十分な
311,under,～の下に,findの過去形,（背の）高い,eatの過去形
312,tall,（背の）高い,～の下に,木,findの過去形
313,tree,木,（背の）高い,庭，庭園,～の下に
314,garden,庭，庭園,木,贈り物，プレゼント,（背の）高い
315,present,贈り物，プレゼント,庭，庭園,部屋，室,木
316,room,部屋，室,贈り物，プレゼント,いくらかの・いくらか,庭，庭園
317,some,いくらかの・いくらか,部屋，室,パーテイー,贈り物，プレゼント
318,party,パーテイー,いくらかの・いくらか,駅,部屋，室
319,station,駅,パーテイー,町,いくらかの・いくらか
320,town,町,駅,家,パーテイー
321,house,家,町,窓,駅
322,window,窓,家,図書館，図書室,町
323,library,図書館，図書室,窓,～の近くに,家
324,near,～の近くに,図書館，図書室,100・100の,窓
325,hundred,100・100の,～の近くに,１つ［１人］も～ない，少しも～ない,図書館，図書室
326,no,１つ［１人］も～ない，少しも～ない,100・100の,地図,～の近くに
327,map,地図,１つ［１人］も～ない，少しも～ない,人形,100・100の
328,doll,人形,地図,卵,１つ［１人］も～ない，少しも～ない
329,egg,卵,人形,向こうに,地図
330,over there,向こうに,卵,鳥,人形
331,bird,鳥,向こうに,壁にかかって,卵
332,on the wall,壁にかかって,鳥,花,向こうに
333,flower,花,壁にかかって,赤い,鳥
334,red,赤い,花,～の前に,壁にかかって
335,in front of ～,～の前に,赤い,野球場,花
336,ball park,野球場,～の前に,野生の,赤い
337,wild,野生の,野球場,動物,～の前に
338,animal,動物,野生の,森，森林,野球場
339,forest,森，森林,動物,昔，ずっと前,野生の
340,a long time ago,昔，ずっと前,森，森林,辞書,動物
341,dictionary,辞書,昔，ずっと前,ドア,森，森林
342,door,ドア,辞書,かご,昔，ずっと前
343,basket,かご,ドア,コンサート,辞書
344,concert,コンサート,かご,星,ドア
345,star,星,コンサート,空,かご
346,sky,空,星,～のふもとに,コンサート
347,at the foot of ～,～のふもとに,空,山,星
348,mountain,山,～のふもとに,フランス料理店,空
349,French restaurant,フランス料理店,山,居間,～のふもとに
350,living room,居間,フランス料理店,丘,山
351,hill,丘,居間,クラブ,フランス料理店
352,club,クラブ,丘,高等学校,居間
353,high school,高等学校,クラブ,いちばん好きな，お気に入りの,丘
354,favorite,いちばん好きな，お気に入りの,高等学校,建物，ビル,クラブ
355,building,建物，ビル,いちばん好きな，お気に入りの,とてもおいしい,高等学校
356,delicious,とてもおいしい,建物，ビル,家族,いちばん好きな，お気に入りの
357,family,家族,とてもおいしい,あとで,建物，ビル
358,later,あとで,家族,なぜ,とてもおいしい
359,why,なぜ,あとで,なぜなら～だから,家族
360,because,なぜなら～だから,なぜ,熱心に，一生懸命に,あとで
361,hard,熱心に，一生懸命に,なぜなら～だから,誕生日,なぜ
362,birthday,誕生日,熱心に，一生懸命に,（長さ・期間は）どれくらい～ですか。,なぜなら～だから
363,How long ～?,（長さ・期間は）どれくらい～ですか。,誕生日,滞在する,熱心に，一生懸命に
364,stay,滞在する,（長さ・期間は）どれくらい～ですか。,1杯の～,誕生日
365,a cup of ～,1杯の～,滞在する,コーヒー,（長さ・期間は）どれくらい～ですか。
366,coffee,コーヒー,1杯の～,何回～しますか。［頻度］,滞在する
367,How often ～?,何回～しますか。［頻度］,コーヒー,祖母,1杯の～
368,grandmother,祖母,何回～しますか。［頻度］,100・100の,コーヒー
369,hundred,100・100の,祖母,ドル,何回～しますか。［頻度］
370,dollar,ドル,100・100の,1度，１回,祖母
371,once,1度，１回,ドル,キロメートル,100・100の
372,kilometer,キロメートル,1度，１回,メートル,ドル
373,meter,メートル,キロメートル,映画,1度，１回
374,movie,映画,メートル,（～を）運転する,キロメートル
375,drive,（～を）運転する,映画,センチメートル,メートル
376,centimeter,センチメートル,（～を）運転する,病院,映画
377,hospital,病院,センチメートル,空腹な,（～を）運転する
378,hungry,空腹な,病院,…の種類の～,センチメートル
379,… kind of ～,…の種類の～,空腹な,天気，天候,病院
380,weather,天気，天候,…の種類の～,靴,空腹な
381,shoe(s),靴,天気，天候,おば,…の種類の～
382,aunt,おば,靴,1000・1000の,天気，天候
383,thousand,1000・1000の,おば,眠る,靴
384,sleep,眠る,1000・1000の,Tシャツ,おば
385,T-shirt,Tシャツ,眠る,医者，医師,1000・1000の
386,doctor,医者，医師,Tシャツ,会議，集会，会合,眠る
387,meeting,会議，集会，会合,医者，医師,頭痛がする,Tシャツ
388,have a headache,頭痛がする,会議，集会，会合,～を散歩に連れて行く,医者，医師
389,take ～ for a walk,～を散歩に連れて行く,頭痛がする,スーパーマーケット，スーパー,会議，集会，会合
390,supermarket,スーパーマーケット，スーパー,～を散歩に連れて行く,～を終える,頭痛がする
391,finish,～を終える,スーパーマーケット，スーパー,小学校,～を散歩に連れて行く
392,elementary school,小学校,～を終える,親[parentsで両親],スーパーマーケット，スーパー
393,parent,親[parentsで両親],小学校,フランス語・フランス(語)の,～を終える
394,French,フランス語・フランス(語)の,親[parentsで両親],ページ,小学校
395,page,ページ,フランス語・フランス(語)の,(時間が)～かかる。,親[parentsで両親]
396,It takes ～. ,(時間が)～かかる。,ページ,答え,フランス語・フランス(語)の
397,answer,答え,(時間が)～かかる。,旅行,ページ
398,trip,旅行,答え,～を楽しむ,(時間が)～かかる。
399,enjoy,～を楽しむ,旅行,すばらしい，すてきな,答え
400,wonderful,すばらしい，すてきな,～を楽しむ,初めて,旅行
401,for the first time,初めて,すばらしい，すてきな,郵便局,～を楽しむ
402,post office,郵便局,初めて,プレゼント，贈り物,すばらしい，すてきな
403,present,プレゼント，贈り物,郵便局,美しい，きれいな,初めて
404,beautiful,美しい，きれいな,プレゼント，贈り物,布,郵便局
405,cloth,布,美しい，きれいな,異なる，違った，さまざまな,プレゼント，贈り物
406,different,異なる，違った，さまざまな,布,形，姿,美しい，きれいな
407,shape,形，姿,異なる，違った，さまざまな,～を運ぶ,布
408,carry,～を運ぶ,形，姿,～を訪問する，～を訪ねる,異なる，違った，さまざまな
409,visit,～を訪問する，～を訪ねる,～を運ぶ,～はいかがですか。,形，姿
410,Would you like ～?,～はいかがですか。,～を訪問する，～を訪ねる,１時間，時間,～を運ぶ
411,hour,１時間，時間,～はいかがですか。,チーム,～を訪問する，～を訪ねる
412,team,チーム,１時間，時間,葉,～はいかがですか。
413,leaf,葉,チーム,ナイフ,１時間，時間
414,knife,ナイフ,葉,足，フィート,チーム
415,foot,足，フィート,ナイフ,魚[複数形も同じ形],葉
416,fish,魚[複数形も同じ形],足，フィート,羊[複数形も同じ形],ナイフ
417,sheep,羊[複数形も同じ形],魚[複数形も同じ形],水,足，フィート
418,water,水,羊[複数形も同じ形],パン,魚[複数形も同じ形]
419,bread,パン,水,お金,羊[複数形も同じ形]
420,money,お金,パン,平和,水
421,peace,平和,お金,１枚の～,パン
422,a sheet of ～,１枚の～,平和,話，物語,お金
423,story,話，物語,１枚の～,地球,平和
424,earth,地球,話，物語,[天体の]月,１枚の～
425,moon,[天体の]月,地球,太陽,話，物語
426,sun,太陽,[天体の]月,東,地球
427,east,東,太陽,たった１つの,[天体の]月
428,only,たった１つの,東,バイオリン,太陽
429,violin,バイオリン,たった１つの,赤ん坊,東
430,baby,赤ん坊,バイオリン,じゃがいも,たった１つの
431,potato,じゃがいも,赤ん坊,１月,バイオリン
432,January,１月,じゃがいも,２月,赤ん坊
433,February,２月,１月,３月,じゃがいも
434,March,３月,２月,４月,１月
435,April,４月,３月,９月,２月
436,September,９月,４月,catchの過去形,３月
437,caught,catchの過去形,９月,1度，1回,４月
438,once,1度，1回,catchの過去形,～の周りを［に］,９月
439,around,～の周りを［に］,1度，1回,(時間の)分,catchの過去形
440,minute,(時間の)分,～の周りを［に］,農場,1度，1回
441,farm,農場,(時間の)分,もう１つの,～の周りを［に］
442,another,もう１つの,農場,役に立つ,(時間の)分
443,useful,役に立つ,もう１つの,仕事に行く，通勤する,農場
444,go to work,仕事に行く，通勤する,役に立つ,それはお気の毒に。,もう１つの
445,That’s too bad.,それはお気の毒に。,仕事に行く，通勤する,最初は,役に立つ
